Month,Day,Hour,Minute,CheckResult
1,1,0,0,10810353990
1,1,0,1,14598608320
1,1,0,2,13333789240
1,1,0,3,12685191650
1,1,0,4,16074088040
1,1,0,5,13832560310
1,1,0,6,11849232820
1,1,0,7,19018425320
1,1,0,8,12952661580
1,1,0,9,10457642660
1,1,0,10,12807743960
1,1,0,11,15637799450
1,1,0,12,16533972320
1,1,0,13,14063626760
1,1,0,14,16117846170
1,1,0,15,12956272440
1,1,0,16,12329702680
1,1,0,17,19556356770
1,1,0,18,17659825710
1,1,0,19,12313905050
1,1,0,20,12880136980
1,1,0,21,16272929800
1,1,0,22,18188716560
1,1,0,23,14364365520
1,1,0,24,13102576220
1,1,0,25,12133179150
1,1,0,26,16108952300
1,1,0,27,14109414390
1,1,0,28,10229420800
1,1,0,29,11144445180
1,1,0,30,19374306350
1,1,0,31,17840638230
1,1,0,32,15283222750
1,1,0,33,13351131710
1,1,0,34,13363890230
1,1,0,35,15138227220
1,1,0,36,11333471260
1,1,0,37,14458454600
1,1,0,38,14203289770
1,1,0,39,16060837300
1,1,0,40,19377511770
1,1,0,41,16521364000
1,1,0,42,18010559400
1,1,0,43,18928049950
1,1,0,44,14195220270
1,1,0,45,10712701030
1,1,0,46,18835298630
1,1,0,47,19546730230
1,1,0,48,17466350720
1,1,0,49,15721145080
1,1,0,50,16113778750
1,1,0,51,18744720450
1,1,0,52,19776538120
1,1,0,53,11438389900
1,1,0,54,18957876620
1,1,0,55,15143241510
1,1,0,56,11782916080
1,1,0,57,16929080170
1,1,0,58,11840149330
1,1,0,59,11769662860
1,1,1,0,15768216730
1,1,1,1,16553502672026
1,1,1,2,13037429574052
1,1,1,3,16637825616078
1,1,1,4,19295108508104
1,1,1,5,156606284410130
1,1,1,6,112762518112156
1,1,1,7,178340619014182
1,1,1,8,127219341316208
1,1,1,9,173478326418234
1,1,1,10,142706631420260
1,1,1,11,130866480022286
1,1,1,12,123385011624312
1,1,1,13,159996330526338
1,1,1,14,176021201428364
1,1,1,15,127958163930390
1,1,1,16,100107081832416
1,1,1,17,183097683734442
1,1,1,18,183390028036468
1,1,1,19,137930949838494
1,1,1,20,139905241540520
1,1,1,21,118476485342546
1,1,1,22,111142245444572
1,1,1,23,199562639746598
1,1,1,24,153135768448624
1,1,1,25,197695846250650
1,1,1,26,198562478852676
1,1,1,27,172428884754702
1,1,1,28,174747777256728
1,1,1,29,133441971658754
1,1,1,30,129025968360780
1,1,1,31,111652208162806
1,1,1,32,158383238464832
1,1,1,33,116306815866858
1,1,1,34,156425779968884
1,1,1,35,129039683970910
1,1,1,36,152006715272936
1,1,1,37,113042552774962
1,1,1,38,195289023476988
1,1,1,39,148717553479014
1,1,1,40,163523845381040
1,1,1,41,189814932483066
1,1,1,42,132553905085092
1,1,1,43,189473168987118
1,1,1,44,123698713189144
1,1,1,45,132073660391170
1,1,1,46,192091374293196
1,1,1,47,195976496595222
1,1,1,48,143944721797248
1,1,1,49,160908188899274
1,1,1,50,1990604146101300
1,1,1,51,1106071657103326
1,1,1,52,1767008169105352
1,1,1,53,1346618019107378
1,1,1,54,1286529346109404
1,1,1,55,1477418415111430
1,1,1,56,1630304053113456
1,1,1,57,1684696395115482
1,1,1,58,1372419409117508
1,1,1,59,1065232326119534
1,1,2,0,15264801390
1,1,2,1,16728114864052
1,1,2,2,14750246458104
1,1,2,3,183896500012156
1,1,2,4,184890518316208
1,1,2,5,172668994420260
1,1,2,6,102395564724312
1,1,2,7,104395993828364
1,1,2,8,130795960832416
1,1,2,9,142029788736468
1,1,2,10,102264153040520
1,1,2,11,164540353744572
1,1,2,12,130295418748624
1,1,2,13,187797849952676
1,1,2,14,172552841956728
1,1,2,15,143835257360780
1,1,2,16,166802738464832
1,1,2,17,150432694268884
1,1,2,18,190218885672936
1,1,2,19,190202224276988
1,1,2,20,185832226981040
1,1,2,21,110514397785092
1,1,2,22,180876341289144
1,1,2,23,124152350793196
1,1,2,24,113050975797248
1,1,2,25,1326989432101300
1,1,2,26,1370945863105352
1,1,2,27,1759609489109404
1,1,2,28,1772963506113456
1,1,2,29,1326254325117508
1,1,2,30,1064479871121560
1,1,2,31,1591597443125612
1,1,2,32,1981267858129664
1,1,2,33,1665564606133716
1,1,2,34,1961397638137768
1,1,2,35,1598200637141820
1,1,2,36,1575889408145872
1,1,2,37,1683777286149924
1,1,2,38,1283941830153976
1,1,2,39,1512215348158028
1,1,2,40,1983259778162080
1,1,2,41,1085713596166132
1,1,2,42,1225156644170184
1,1,2,43,1038000076174236
1,1,2,44,1703952320178288
1,1,2,45,1606613200182340
1,1,2,46,1936264942186392
1,1,2,47,1941195007190444
1,1,2,48,1672060038194496
1,1,2,49,1491268281198548
1,1,2,50,1734120449202600
1,1,2,51,1565801501206652
1,1,2,52,1715002286210704
1,1,2,53,1462673295214756
1,1,2,54,1785071925218808
1,1,2,55,1754299320222860
1,1,2,56,1533416852226912
1,1,2,57,1324162952230964
1,1,2,58,1174596108235016
1,1,2,59,1486484896239068
1,1,3,0,17446529690
1,1,3,1,14454604416078
1,1,3,2,165242763012156
1,1,3,3,174276928718234
1,1,3,4,139093489024312
1,1,3,5,182566007130390
1,1,3,6,125565984436468
1,1,3,7,121985491342546
1,1,3,8,171206588348624
1,1,3,9,140219048054702
1,1,3,10,164250747760780
1,1,3,11,196639848666858
1,1,3,12,124618615872936
1,1,3,13,194661268579014
1,1,3,14,144135386685092
1,1,3,15,153311490091170
1,1,3,16,127365590197248
1,1,3,17,1494467964103326
1,1,3,18,1480415152109404
1,1,3,19,1167726038115482
1,1,3,20,1928675017121560
1,1,3,21,1139988576127638
1,1,3,22,1603370404133716
1,1,3,23,1790341477139794
1,1,3,24,1331745320145872
1,1,3,25,1761267316151950
1,1,3,26,1019643476158028
1,1,3,27,1998587612164106
1,1,3,28,1714961732170184
1,1,3,29,1569011868176262
1,1,3,30,1028898853182340
1,1,3,31,1362029657188418
1,1,3,32,1416310288194496
1,1,3,33,1748394771200574
1,1,3,34,1929793914206652
1,1,3,35,1980792770212730
1,1,3,36,1653514001218808
1,1,3,37,1238085155224886
1,1,3,38,1434062693230964
1,1,3,39,1579188974237042
1,1,3,40,1724887141243120
1,1,3,41,1913795992249198
1,1,3,42,1573654838255276
1,1,3,43,1744731458261354
1,1,3,44,1360419287267432
1,1,3,45,1924420572273510
1,1,3,46,1174797061279588
1,1,3,47,1806501812285666
1,1,3,48,1918258534291744
1,1,3,49,1485523336297822
1,1,3,50,1512130849303900
1,1,3,51,1477123552309978
1,1,3,52,1950945644316056
1,1,3,53,1371139886322134
1,1,3,54,1018699090328212
1,1,3,55,1031124819334290
1,1,3,56,1357618001340368
1,1,3,57,1220950076346446
1,1,3,58,1186464221352524
1,1,3,59,1696942646358602
1,1,4,0,10767741220
1,1,4,1,19436255528104
1,1,4,2,107321449416208
1,1,4,3,168718959024312
1,1,4,4,111620421932416
1,1,4,5,199993713240520
1,1,4,6,125090087748624
1,1,4,7,125225834356728
1,1,4,8,147429401964832
1,1,4,9,198938339972936
1,1,4,10,137430350081040
1,1,4,11,140234353689144
1,1,4,12,184629687297248
1,1,4,13,1160164821105352
1,1,4,14,1993230061113456
1,1,4,15,1512085588121560
1,1,4,16,1617913189129664
1,1,4,17,1814477716137768
1,1,4,18,1609616004145872
1,1,4,19,1303822616153976
1,1,4,20,1625758616162080
1,1,4,21,1875640357170184
1,1,4,22,1887819436178288
1,1,4,23,1685612840186392
1,1,4,24,1444734696194496
1,1,4,25,1043864215202600
1,1,4,26,1372799830210704
1,1,4,27,1157292328218808
1,1,4,28,1939850617226912
1,1,4,29,1103819003235016
1,1,4,30,1136551518243120
1,1,4,31,1868347367251224
1,1,4,32,1522791516259328
1,1,4,33,1311201013267432
1,1,4,34,1450463102275536
1,1,4,35,1317145475283640
1,1,4,36,1250214978291744
1,1,4,37,1546757624299848
1,1,4,38,1067921031307952
1,1,4,39,1905389827316056
1,1,4,40,1647565304324160
1,1,4,41,1822082579332264
1,1,4,42,1111579868340368
1,1,4,43,1445662644348472
1,1,4,44,1557616422356576
1,1,4,45,1024552463364680
1,1,4,46,1464528357372784
1,1,4,47,1153622674380888
1,1,4,48,1936983633388992
1,1,4,49,1283612919397096
1,1,4,50,1933621242405200
1,1,4,51,1620356343413304
1,1,4,52,1236922207421408
1,1,4,53,1886944582429512
1,1,4,54,1008203294437616
1,1,4,55,1689272791445720
1,1,4,56,1621999801453824
1,1,4,57,1928819945461928
1,1,4,58,1895230274470032
1,1,4,59,1174042068478136
1,1,5,0,13377566130
1,1,5,1,122218521710130
1,1,5,2,134852373920260
1,1,5,3,108539491330390
1,1,5,4,129462794740520
1,1,5,5,130442264150650
1,1,5,6,131230183660780
1,1,5,7,161602303670910
1,1,5,8,129442307181040
1,1,5,9,170166548491170
1,1,5,10,1450379075101300
1,1,5,11,1691525540111430
1,1,5,12,1449316784121560
1,1,5,13,1070992236131690
1,1,5,14,1327840503141820
1,1,5,15,1261861352151950
1,1,5,16,1956044925162080
1,1,5,17,1635011981172210
1,1,5,18,1994919876182340
1,1,5,19,1387262013192470
1,1,5,20,1043184269202600
1,1,5,21,1127520406212730
1,1,5,22,1934691894222860
1,1,5,23,1664170372232990
1,1,5,24,1009926092243120
1,1,5,25,1651033700253250
1,1,5,26,1055540050263380
1,1,5,27,1200092577273510
1,1,5,28,1458623446283640
1,1,5,29,1911856736293770
1,1,5,30,1573276876303900
1,1,5,31,1712662769314030
1,1,5,32,1955009841324160
1,1,5,33,1471859805334290
1,1,5,34,1189014200344420
1,1,5,35,1550367741354550
1,1,5,36,1421263672364680
1,1,5,37,1487480138374810
1,1,5,38,1046891960384940
1,1,5,39,1114760192395070
1,1,5,40,1417148738405200
1,1,5,41,1642389179415330
1,1,5,42,1238535053425460
1,1,5,43,1641501724435590
1,1,5,44,1921863751445720
1,1,5,45,1131250792455850
1,1,5,46,1999447899465980
1,1,5,47,1756888433476110
1,1,5,48,1747594241486240
1,1,5,49,1074080936496370
1,1,5,50,1679249110506500
1,1,5,51,1667722998516630
1,1,5,52,1017951853526760
1,1,5,53,1361335198536890
1,1,5,54,1907334495547020
1,1,5,55,1883414484557150
1,1,5,56,1921569340567280
1,1,5,57,1147328431577410
1,1,5,58,1776690889587540
1,1,5,59,1675951830597670
1,1,6,0,10882608060
1,1,6,1,127743611812156
1,1,6,2,170207350124312
1,1,6,3,145169626836468
1,1,6,4,159390655948624
1,1,6,5,113729932360780
1,1,6,6,173170921672936
1,1,6,7,106750229685092
1,1,6,8,194710769797248
1,1,6,9,1648940811109404
1,1,6,10,1691970841121560
1,1,6,11,1564910809133716
1,1,6,12,1322476199145872
1,1,6,13,1598705749158028
1,1,6,14,1306359599170184
1,1,6,15,1735931106182340
1,1,6,16,1588201145194496
1,1,6,17,1597108439206652
1,1,6,18,1056510021218808
1,1,6,19,1799955364230964
1,1,6,20,1747185168243120
1,1,6,21,1457512684255276
1,1,6,22,1170979263267432
1,1,6,23,1791889505279588
1,1,6,24,1044475369291744
1,1,6,25,1336277217303900
1,1,6,26,1602029994316056
1,1,6,27,1635540350328212
1,1,6,28,1569068404340368
1,1,6,29,1094497177352524
1,1,6,30,1871528197364680
1,1,6,31,1867883406376836
1,1,6,32,1540600400388992
1,1,6,33,1727792535401148
1,1,6,34,1967096784413304
1,1,6,35,1056365874425460
1,1,6,36,1982009696437616
1,1,6,37,1929448153449772
1,1,6,38,1019314370461928
1,1,6,39,1525262194474084
1,1,6,40,1170727808486240
1,1,6,41,1289415142498396
1,1,6,42,1310985015510552
1,1,6,43,1371384217522708
1,1,6,44,1690885643534864
1,1,6,45,1433809856547020
1,1,6,46,1173707802559176
1,1,6,47,1660782605571332
1,1,6,48,1101412361583488
1,1,6,49,1071907067595644
1,1,6,50,1113666982607800
1,1,6,51,1845642579619956
1,1,6,52,1939979198632112
1,1,6,53,1419682023644268
1,1,6,54,1469021529656424
1,1,6,55,1110589146668580
1,1,6,56,1887722881680736
1,1,6,57,1280717731692892
1,1,6,58,1315019676705048
1,1,6,59,1629872379717204
1,1,7,0,17664957470
1,1,7,1,177135106114182
1,1,7,2,196959124528364
1,1,7,3,168501804742546
1,1,7,4,195055345656728
1,1,7,5,195598362870910
1,1,7,6,147898264085092
1,1,7,7,156512647899274
1,1,7,8,1424689788113456
1,1,7,9,1487756313127638
1,1,7,10,1530561515141820
1,1,7,11,1340242944156002
1,1,7,12,1073744056170184
1,1,7,13,1038012601184366
1,1,7,14,1202306184198548
1,1,7,15,1289597777212730
1,1,7,16,1102166715226912
1,1,7,17,1244217220241094
1,1,7,18,1308087630255276
1,1,7,19,1734243459269458
1,1,7,20,1385710131283640
1,1,7,21,1026922137297822
1,1,7,22,1538288471312004
1,1,7,23,1692137011326186
1,1,7,24,1453070977340368
1,1,7,25,1681569132354550
1,1,7,26,1262999985368732
1,1,7,27,1220935187382914
1,1,7,28,1199361775397096
1,1,7,29,1266430717411278
1,1,7,30,1916614555425460
1,1,7,31,1584210205439642
1,1,7,32,1020916092453824
1,1,7,33,1232732290468006
1,1,7,34,1403507013482188
1,1,7,35,1565295880496370
1,1,7,36,1084766038510552
1,1,7,37,1616900955524734
1,1,7,38,1405448633538916
1,1,7,39,1452064467553098
1,1,7,40,1092120601567280
1,1,7,41,1340006503581462
1,1,7,42,1957335535595644
1,1,7,43,1162271961609826
1,1,7,44,1631649422624008
1,1,7,45,1266559853638190
1,1,7,46,1157592592652372
1,1,7,47,1423442210666554
1,1,7,48,1452856992680736
1,1,7,49,1918471272694918
1,1,7,50,1897849121709100
1,1,7,51,1283178386723282
1,1,7,52,1154720386737464
1,1,7,53,1344060201751646
1,1,7,54,1174786399765828
1,1,7,55,1459539900780010
1,1,7,56,1541520783794192
1,1,7,57,1638195610808374
1,1,7,58,1129122212822556
1,1,7,59,1273335504836738
1,1,8,0,15769280460
1,1,8,1,156201191616208
1,1,8,2,159776676232416
1,1,8,3,108303283648624
1,1,8,4,124614125164832
1,1,8,5,157572589481040
1,1,8,6,141634915997248
1,1,8,7,1261045998113456
1,1,8,8,1348662117129664
1,1,8,9,1222799115145872
1,1,8,10,1749165352162080
1,1,8,11,1513166201178288
1,1,8,12,1765387445194496
1,1,8,13,1321620915210704
1,1,8,14,1671333541226912
1,1,8,15,1689605526243120
1,1,8,16,1518673241259328
1,1,8,17,1513302164275536
1,1,8,18,1681787384291744
1,1,8,19,1301769620307952
1,1,8,20,1813735493324160
1,1,8,21,1965704502340368
1,1,8,22,1131531536356576
1,1,8,23,1661444614372784
1,1,8,24,1028785679388992
1,1,8,25,1403499496405200
1,1,8,26,1358716995421408
1,1,8,27,1219177371437616
1,1,8,28,1719275714453824
1,1,8,29,1987322587470032
1,1,8,30,1525024257486240
1,1,8,31,1993158202502448
1,1,8,32,1836819652518656
1,1,8,33,1182404125534864
1,1,8,34,1102623318551072
1,1,8,35,1376617838567280
1,1,8,36,1648592054583488
1,1,8,37,1090702476599696
1,1,8,38,1329077812615904
1,1,8,39,1812779768632112
1,1,8,40,1870773776648320
1,1,8,41,1570628457664528
1,1,8,42,1774908350680736
1,1,8,43,1285908964696944
1,1,8,44,1300510162713152
1,1,8,45,1742974553729360
1,1,8,46,1975124461745568
1,1,8,47,1215510768761776
1,1,8,48,1987670703777984
1,1,8,49,1241003583794192
1,1,8,50,1632266321810400
1,1,8,51,1159096867826608
1,1,8,52,1586624155842816
1,1,8,53,1807461789859024
1,1,8,54,1141608409875232
1,1,8,55,1771080747891440
1,1,8,56,1714701660907648
1,1,8,57,1141977129923856
1,1,8,58,1747531030940064
1,1,8,59,1756773380956272
1,1,9,0,12816930510
1,1,9,1,176059196418234
1,1,9,2,157103473036468
1,1,9,3,178471553054702
1,1,9,4,175324356572936
1,1,9,5,197019822691170
1,1,9,6,1186906584109404
1,1,9,7,1433615946127638
1,1,9,8,1655493831145872
1,1,9,9,1294538751164106
1,1,9,10,1586779250182340
1,1,9,11,1134712435200574
1,1,9,12,1315188301218808
1,1,9,13,1881318443237042
1,1,9,14,1150281685255276
1,1,9,15,1841834711273510
1,1,9,16,1478486032291744
1,1,9,17,1278633872309978
1,1,9,18,1862081059328212
1,1,9,19,1332214933346446
1,1,9,20,1389191322364680
1,1,9,21,1853577373382914
1,1,9,22,1742142235401148
1,1,9,23,1856082408419382
1,1,9,24,1341239437437616
1,1,9,25,1156310460455850
1,1,9,26,1435982209474084
1,1,9,27,1343696563492318
1,1,9,28,1357541425510552
1,1,9,29,1007030521528786
1,1,9,30,1978334692547020
1,1,9,31,1407368242565254
1,1,9,32,1373920299583488
1,1,9,33,1296793410601722
1,1,9,34,1640675880619956
1,1,9,35,1119175172638190
1,1,9,36,1552099241656424
1,1,9,37,1229692713674658
1,1,9,38,1792831106692892
1,1,9,39,1182193027711126
1,1,9,40,1806271421729360
1,1,9,41,1832818923747594
1,1,9,42,1899441909765828
1,1,9,43,1857632701784062
1,1,9,44,1136190388802296
1,1,9,45,1936609516820530
1,1,9,46,1788921619838764
1,1,9,47,1527183964856998
1,1,9,48,1438842157875232
1,1,9,49,1662890552893466
1,1,9,50,1161810245911700
1,1,9,51,1766862253929934
1,1,9,52,1925901198948168
1,1,9,53,1552655070966402
1,1,9,54,1873373650984636
